epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7086,4.08685,4.43874,3.72795,0.35395,0.03131,0.00877,0.00268,3.50438,3.66058,3.29424,0.000473002,0.000473002,0.000473002
2,150.666,3.14188,2.88382,2.51562,0.16656,0.15813,0.10297,0.03517,2.64581,2.7855,2.32393,0.000930539,0.000930539,0.000930539
3,219.319,2.66051,2.29461,2.09808,0.25094,0.17031,0.16204,0.06275,2.46754,2.18638,2.15502,0.00136921,0.00136921,0.00136921
4,287.639,2.45383,2.01977,1.91123,0.60727,0.2152,0.20125,0.08086,2.22175,2.017,1.95007,0.00134412,0.00134412,0.00134412
5,355.853,2.32383,1.902,1.82791,0.68248,0.23913,0.26553,0.11067,2.1318,1.75459,1.8598,0.00131582,0.00131582,0.00131582
6,423.597,2.20052,1.75219,1.71153,0.66016,0.23874,0.24728,0.10873,2.12984,1.85989,1.8467,0.00128753,0.00128753,0.00128753
7,491.544,2.12527,1.67377,1.6524,0.69997,0.24997,0.28126,0.12371,2.01833,1.72773,1.73929,0.00125923,0.00125923,0.00125923
8,559.413,2.05894,1.59103,1.61113,0.72813,0.29912,0.34217,0.14907,1.97084,1.49204,1.68981,0.00123094,0.00123094,0.00123094
9,627.562,2.01768,1.5372,1.57139,0.75948,0.30802,0.36048,0.17025,1.83242,1.466,1.60139,0.00120265,0.00120265,0.00120265
10,695.398,1.97976,1.49591,1.55819,0.76129,0.31168,0.37189,0.17902,1.81674,1.4082,1.58559,0.00117435,0.00117435,0.00117435
11,763.122,1.92248,1.43294,1.52293,0.42106,0.33121,0.3757,0.1799,1.76437,1.35759,1.55462,0.00114606,0.00114606,0.00114606
12,830.644,1.9012,1.4,1.50128,0.75834,0.33383,0.38461,0.18013,1.77283,1.30275,1.5427,0.00111776,0.00111776,0.00111776
13,899.053,1.87013,1.35799,1.46675,0.51737,0.36593,0.40181,0.19185,1.74603,1.49014,1.53018,0.00108947,0.00108947,0.00108947
14,966.762,1.87219,1.344,1.46585,0.81356,0.36624,0.43588,0.22102,1.65338,1.18588,1.47511,0.00106118,0.00106118,0.00106118
15,1034.55,1.84466,1.32003,1.45491,0.45306,0.33881,0.39558,0.19937,1.70796,1.47775,1.51226,0.00103288,0.00103288,0.00103288
16,1102.01,1.81051,1.27549,1.4244,0.55511,0.3783,0.44353,0.2242,1.65435,1.16052,1.46633,0.00100459,0.00100459,0.00100459
17,1169.04,1.80696,1.26949,1.41114,0.47476,0.3628,0.42928,0.21132,1.70207,1.18831,1.47233,0.000976293,0.000976293,0.000976293
18,1236.69,1.77782,1.25042,1.41061,0.56729,0.3808,0.45632,0.23259,1.63634,1.1607,1.4425,0.000947999,0.000947999,0.000947999
19,1304.15,1.75882,1.22831,1.39048,0.56949,0.3883,0.4535,0.23205,1.63291,1.14333,1.43431,0.000919704,0.000919704,0.000919704
20,1371.55,1.74986,1.20464,1.37754,0.56924,0.39729,0.47951,0.24694,1.61249,1.0873,1.42108,0.00089141,0.00089141,0.00089141
21,1439.09,1.7397,1.1897,1.38183,0.7544,0.42778,0.49927,0.26185,1.56032,1.04676,1.38467,0.000863116,0.000863116,0.000863116
22,1506.69,1.70863,1.16501,1.35816,0.84771,0.38386,0.46528,0.24125,1.59117,1.1308,1.40495,0.000834822,0.000834822,0.000834822
23,1574.04,1.6978,1.15758,1.35811,0.70352,0.4072,0.49203,0.26123,1.56048,1.04366,1.38265,0.000806528,0.000806528,0.000806528
24,1641.4,1.67491,1.14096,1.33726,0.72687,0.40333,0.49508,0.26356,1.55027,1.07133,1.37914,0.000778233,0.000778233,0.000778233
25,1709.21,1.65391,1.11865,1.32952,0.7133,0.43017,0.5205,0.27701,1.50907,0.97931,1.35428,0.000749939,0.000749939,0.000749939
26,1777.15,1.66365,1.12853,1.32407,0.84945,0.43211,0.5211,0.27089,1.51126,0.99747,1.35527,0.000721645,0.000721645,0.000721645
27,1844.87,1.63757,1.09954,1.31728,0.73868,0.4302,0.52525,0.28358,1.47736,0.95866,1.34037,0.000693351,0.000693351,0.000693351
28,1912.97,1.6323,1.09291,1.31555,0.57223,0.45465,0.52265,0.28592,1.47603,0.96241,1.33192,0.000665057,0.000665057,0.000665057
29,1980.53,1.63674,1.08811,1.31518,0.71553,0.42919,0.51269,0.27889,1.50493,0.96423,1.35081,0.000636762,0.000636762,0.000636762
30,2048.57,1.63033,1.08123,1.30415,0.59549,0.45916,0.52862,0.2859,1.4652,0.96269,1.33131,0.000608468,0.000608468,0.000608468
31,2116.86,1.60021,1.07004,1.30296,0.73535,0.43832,0.53732,0.28565,1.47987,0.954,1.31831,0.000580174,0.000580174,0.000580174
32,2184.32,1.60477,1.05078,1.29431,0.55531,0.46927,0.52257,0.28482,1.49088,0.96971,1.3353,0.00055188,0.00055188,0.00055188
33,2252.01,1.61017,1.04694,1.28959,0.85878,0.4492,0.54827,0.29362,1.47658,0.94831,1.32121,0.000523586,0.000523586,0.000523586
34,2319.88,1.57955,1.03375,1.28664,0.85536,0.44806,0.55086,0.30041,1.44965,0.92279,1.30132,0.000495291,0.000495291,0.000495291
35,2387.51,1.56788,1.01806,1.27614,0.68176,0.4456,0.54888,0.30067,1.42954,0.89253,1.29719,0.000466997,0.000466997,0.000466997
36,2454.87,1.56219,1.02836,1.27645,0.61109,0.51352,0.55853,0.30796,1.42366,0.89533,1.29742,0.000438703,0.000438703,0.000438703
37,2522.47,1.56597,1.01178,1.26827,0.71538,0.44765,0.5389,0.29796,1.44017,0.89851,1.2951,0.000410409,0.000410409,0.000410409
38,2589.88,1.54407,1.00036,1.2653,0.70272,0.48387,0.56286,0.30389,1.43848,0.90842,1.29005,0.000382115,0.000382115,0.000382115
39,2657.56,1.54471,0.99346,1.24967,0.55091,0.55474,0.56948,0.31118,1.41638,0.88139,1.27969,0.00035382,0.00035382,0.00035382
40,2725.71,1.52988,0.9771,1.25067,0.68574,0.5327,0.57718,0.32197,1.38785,0.85565,1.26269,0.000325526,0.000325526,0.000325526
41,2793.69,1.50331,0.93407,1.26153,0.67688,0.51705,0.57417,0.31501,1.41056,0.86017,1.2789,0.000297232,0.000297232,0.000297232
42,2859.81,1.48182,0.91935,1.25415,0.80863,0.48276,0.58778,0.32347,1.39525,0.84269,1.26601,0.000268938,0.000268938,0.000268938
43,2925.71,1.46668,0.91112,1.25297,0.79272,0.49177,0.59545,0.3314,1.38714,0.8338,1.26225,0.000240644,0.000240644,0.000240644
44,2991.73,1.47146,0.90693,1.2458,0.60878,0.56463,0.57934,0.32468,1.37907,0.84089,1.25387,0.000212349,0.000212349,0.000212349
45,3058.11,1.4612,0.89902,1.24132,0.79439,0.54247,0.6128,0.34132,1.37019,0.82732,1.24679,0.000184055,0.000184055,0.000184055
46,3124.2,1.45797,0.8889,1.24245,0.7407,0.53446,0.61812,0.34146,1.36811,0.81797,1.24394,0.000155761,0.000155761,0.000155761
47,3191.16,1.44116,0.87742,1.22908,0.73481,0.53639,0.62363,0.34557,1.3675,0.81531,1.24509,0.000127467,0.000127467,0.000127467
48,3259.7,1.44266,0.87588,1.23079,0.80134,0.52563,0.61696,0.3418,1.36014,0.81174,1.24365,9.91726e-05,9.91726e-05,9.91726e-05
49,3326.25,1.42431,0.86612,1.21895,0.7084,0.54431,0.60554,0.34405,1.35549,0.80847,1.23747,7.08784e-05,7.08784e-05,7.08784e-05
50,3392.53,1.43051,0.86919,1.22743,0.6975,0.53024,0.60517,0.34176,1.35555,0.8095,1.23807,4.25842e-05,4.25842e-05,4.25842e-05
